Title,Subheader,URL,Premium,Image URL,Article Type,Authors
"Limiter le réchauffement climatique à 1,5 °C est désormais impossible","Selon un collectif de scientifiques, l’objectif fixé par l’accord de Paris en 2015 ne pourra pas être atteint en raison de l’incapacité des pays à diminuer les émissions de gaz à effet de serre.",https://www.lemonde.fr/planete/article/2025/06/19/limiter-le-rechauffement-climatique-a-1-5-c-est-desormais-inatteignable_6614266_3244.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/18/0/0/3993/2662/1800/1200/75/0/9bb31fa_upload-1-55d38ix7j6nz-000-49nx3mx.jpg,NewsArticle,Audrey Garric
La police israélienne fait part d’« impacts » après de violentes explosions à Tel-Aviv et Jérusalem,No subheader,https://www.lemonde.fr/international/live/2025/06/19/en-direct-israel-iran-l-armee-israelienne-dit-mener-des-frappes-sur-l-iran-notamment-a-teheran-au-septieme-jour-de-son-offensive_6612642_3210.html,,https://img.lemde.fr/2025/06/19/0/0/8640/5760/114/76/75/0/cfdb638_ftp-import-images-1-mgfekhpsqcte-9f6889f66873418c873c5eec7b37dd90-0-6e98c47dc8814f30976d50359761ef42.jpg,,
"Avec sa future commission d’enquête, LR continue à faire des « insoumis » son ennemi utile",No subheader,https://www.lemonde.fr/politique/article/2025/06/19/avec-sa-future-commission-d-enquete-lr-continue-a-faire-des-insoumis-son-ennemi-utile_6614347_823448.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/18/0/0/5899/3933/114/76/75/0/fadb15a_upload-1-ljdlgtzvop6n-jmug250527045.jpg,NewsArticle,Alexandre Pedro
"Pour les maires, les tensions au sein du conseil municipal, première cause de démission","Avec 2 189 démissions depuis 2020, soit plus de 400 par an, les édiles ont été quatre fois plus nombreux à quitter leur mandat qu’en 2008-2014, « une ampleur jamais observée » selon une note du chercheur au Cevipof Martial Foucault.",https://www.lemonde.fr/politique/article/2025/06/19/pour-les-maires-les-tensions-au-sein-du-conseil-municipal-premiere-cause-de-demission_6614359_823448.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/18/0/0/5568/3712/114/76/75/0/96461a0_upload-1-qeqvcflyh3nr-000-8x77td.jpg,NewsArticle,Benoît Floc’h
Définition pénale du viol : le Sénat approuve à son tour la notion de non-consentement de la victime,"Le consentement à un acte sexuel doit être « libre et éclairé, spécifique, préalable et révocable », selon la proposition de loi votée par les deux chambres du Parlement. Une commission mixte paritaire doit encore se réunir pour aboutir à un texte commun en raison de quelques divergences.",https://www.lemonde.fr/societe/article/2025/06/19/definition-penale-du-viol-le-senat-approuve-a-son-tour-la-notion-de-non-consentement-de-la-victime_6614272_3224.html,,https://img.lemde.fr/2025/06/19/1/0/8192/5461/114/76/75/0/9deaa62_upload-1-ov0w21xxdmc4-000-33xb4ag.jpg,NewsArticle,Le Monde avec AFP
Plaidoyer pour le short au bureau,"« Work in progress ». Si aucune loi ne l’interdit, porter un short ou un bermuda au travail suffit souvent à vous faire passer pour un militant profarniente. Cette décontraction vestimentaire ne serait-elle pas, plutôt, une forme d’avant-gardisme écologique ?, se demande Nicolas Santolaria dans sa chronique.",https://www.lemonde.fr/m-perso/article/2025/06/19/plaidoyer-pour-le-short-au-bureau_6614354_4497916.html,Article réservé aux abonnés,https://img.lemde.fr/2024/05/22/0/0/780/520/114/76/75/0/4e19664_1716382609145-d34ad89-1705494183336-1c4289c-1704279693589-travail-lucas-burtin-1-1.jpg,NewsArticle,Nicolas Santolaria
"Anduril, la start-up star de la défense américaine, débarque en Europe","L’entreprise a signé un accord avec le géant allemand Rheinmetall pour produire, sur le sol européen, un drone de combat et un missile de croisière. Ultravalorisée, elle est aussi controversée.",https://www.lemonde.fr/international/article/2025/06/19/anduril-la-start-up-star-de-la-defense-americaine-debarque-en-europe_6614358_3210.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/18/0/0/5499/3666/355/236/75/0/8ea9ed3_upload-1-ffnkqehnbtc9-874818.jpg,NewsArticle,Olivier Pinaud
Guerre en Ukraine : Vladimir Poutine dit qu’une rencontre avec Volodymyr Zelensky est possible dans la phase finale de négociations de paix,No subheader,https://www.lemonde.fr/international/live/2025/06/19/en-direct-guerre-en-ukraine-vladimir-poutine-dit-qu-une-rencontre-avec-volodymyr-zelensky-est-possible-dans-la-phase-finale-de-negociations-de-paix_6613242_3210.html,,https://img.lemde.fr/2025/06/18/0/0/3485/2323/162/108/95/0/11d6d3b_ftp-import-images-1-pollhpskukp0-de18451d10ea42098d9e3d225e4b62db-0-2d90d58f7a7744d583189237dd855fcf.jpg,,
Le député écologiste Pouria Amirshahi interdit d’entrée aux Etats-Unis,No subheader,https://www.lemonde.fr/international/article/2025/06/18/le-depute-ecologiste-pouria-amirshahi-interdit-d-entrer-aux-etats-unis_6614265_3210.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/18/0/0/5760/3840/162/108/95/0/5ff9d75_upload-1-d0u5f01wa5w3-000-36273cr.jpg,NewsArticle,Sandrine Cassini
"RDC-Rwanda : un accord de paix paraphé à Washington, signature prévue le 27 juin",No subheader,https://www.lemonde.fr/international/article/2025/06/19/rdc-rwanda-un-accord-de-paix-paraphe-a-washington-signature-prevue-le-27-juin_6614270_3210.html,,https://img.lemde.fr/2025/06/18/0/35/5430/3620/162/108/95/0/b106c2b_ftp-import-images-1-cf9xr6ygtkot-2025-06-18t221409z-2090395950-rc295fajwf62-rtrmadp-3-congo-rwanda-diplomacy.JPG,NewsArticle,Le Monde avec AFP
"Plus de 4 000 forces de l’ordre mobilisées mercredi et jeudi pour mener des contrôles dans les gares et les bus à la recherche de « clandestins », annonce Bruno Retailleau",No subheader,https://www.lemonde.fr/societe/article/2025/06/18/bruno-retailleau-annonce-le-deploiement-de-4-000-membres-des-forces-de-l-ordre-pour-le-controle-de-migrants-aux-frontieres-dans-les-gares-et-les-bus_6614250_3224.html,,https://img.lemde.fr/2024/03/19/100/0/4979/3319/162/108/95/0/3f9f550_1710857503629-pns-6498343.jpg,NewsArticle,Le Monde avec AFP
"Le Real Madrid toujours convalescent, Xabi Alonso a du travail pour recréer un vrai collectif triomphant",No subheader,https://www.lemonde.fr/sport/article/2025/06/19/le-real-madrid-toujours-convalescent-xabi-alonso-a-du-travail-pour-recreer-un-vrai-collectif-triomphant_6614271_3242.html,Article réservé aux abonnés,,NewsArticle,Alexandre Lemarié
"Aux Etats-Unis, la Fed maintient ses taux d’intérêt, à rebours des envies de Donald Trump",No subheader,https://www.lemonde.fr/international/article/2025/06/19/etats-unis-la-fed-maintient-ses-taux-d-interet-a-rebours-des-envies-de-donald-trump_6614269_3210.html,,,NewsArticle,Le Monde avec AFP
"Argentine : forte mobilisation en soutien à Cristina Kirchner, condamnée et assignée à résidence",No subheader,https://www.lemonde.fr/international/article/2025/06/19/argentine-forte-mobilisation-en-soutien-a-cristina-kirchner-condamnee-et-assignee-a-residence_6614274_3210.html,,,NewsArticle,Le Monde avec AFP
"A Cahors, les responsables d’un parc animalier devant la justice pour un vaste trafic d’oiseaux protégés",No subheader,https://www.lemonde.fr/planete/article/2025/06/18/a-cahors-les-responsables-d-un-parc-animalier-devant-la-justice-pour-un-vaste-trafic-d-oiseaux-proteges_6614262_3244.html,Article réservé aux abonnés,,NewsArticle,Philippe Gagnebet
La grand-tante du petit Grégory Villemin convoquée pour un nouvel interrogatoire en vue d’une possible mise en examen pour « association de malfaiteurs criminelle »,No subheader,https://www.lemonde.fr/societe/article/2025/06/18/affaire-du-petit-gregory-la-justice-ordonne-un-interrogatoire-de-la-grand-tante-de-l-enfant-en-vue-d-une-possible-mise-en-examen_6614255_3224.html,,,NewsArticle,Le Monde avec AFP
"Les Etats-Unis approuvent un traitement préventif très prometteur contre le VIH, évoquant « un jour historique » dans la lutte contre le sida",No subheader,https://www.lemonde.fr/societe/article/2025/06/18/les-etats-unis-approuvent-un-traitement-preventif-tres-prometteur-contre-le-vih-evoquant-un-jour-historique-dans-la-lutte-contre-le-sida_6614264_3224.html,,,NewsArticle,Le Monde avec AFP
"Dans l’Aisne, un enfant meurt d’une intoxication alimentaire, six autres cas recensés",No subheader,https://www.lemonde.fr/sante/article/2025/06/19/dans-l-aisne-un-enfant-meurt-d-une-intoxication-alimentaire-six-autres-cas-recenses_6614268_1651302.html,,,NewsArticle,Le Monde avec AFP
Comment Donald Trump en est venu à accorder un nouveau sursis à TikTok,No subheader,https://www.lemonde.fr/pixels/article/2025/06/18/comment-donald-trump-en-est-venu-a-accorder-un-nouveau-sursis-a-tiktok_6614257_4408996.html,Article réservé aux abonnés,,NewsArticle,Grégor Brandy
Comment Israël a acquis la supériorité aérienne sur la ville de Téhéran,L’Etat hébreu a mené une longue guerre contre l’Iran et l’« axe de la résistance » pour contrôler le couloir aérien menant à Téhéran.,https://www.lemonde.fr/international/article/2025/06/18/conflit-israel-iran-comment-israel-a-acquis-la-superiorite-aerienne-sur-teheran_6614180_3210.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/18/0/0/1279/853/355/236/75/0/92806f8_upload-1-soosbioq2txw-2025-06-13t064519z-1296547764-mt1eyeim268651-rtrmadp-3-israel-strikes-against-iran.JPG,NewsArticle,Samuel Forey
"The Heritage Foundation, l’influent think tank qui a pavé le retour de Donald Trump, tisse sa toile en Europe","Depuis le début de son mandat, le président américain déroule à la lettre le Projet 2025, une bible de 922 pages rédigée par cet organisme. Son président, Kevin Roberts, regarde aujourd’hui notamment vers la France, où il a rencontré des dirigeants d’extrême droite.",https://www.lemonde.fr/m-le-mag/article/2025/06/18/the-heritage-foundation-les-missionnaires-du-trumpisme-a-l-assaut-de-l-europe_6614138_4500055.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/17/63/1/1472/981/355/236/75/0/7dd2503_ftp-import-images-1-sbr3fpqan4dj-386168-3426830.jpg,NewsArticle,Ivanne Trippenbach
"La volte-face des Etats-Unis dans l’intervention en Syrie en 2013, un traumatisme français","« Divorce transatlantique » (3/5). Le 31 août 2013, alors que les avions français sont prêts à décoller pour la Syrie, où ils doivent mener une opération avec les Etats-Unis contre le régime de Bachar Al-Assad, Barack Obama décide de temporiser, laissant la France seule face à son impuissance.",https://www.lemonde.fr/histoire/article/2025/06/18/la-volte-face-des-etats-unis-dans-l-intervention-en-syrie-en-2013-un-traumatisme-francais_6614130_4655323.html,Article réservé aux abonnés,https://img.lemde.fr/2025/06/17/87/0/4608/3072/355/236/75/0/02e0bed_upload-1-3woqyt63yjvk-rea4444187.jpg,NewsArticle,Sylvie Kauffmann
"L’« adultisme », le « système d’oppression et de domination » des enfants",No subheader,https://www.lemonde.fr/idees/article/2025/06/18/l-adultisme-le-systeme-de-domination-des-enfants_6614155_3232.html,,,NewsArticle,Ariane Ferrand
« Guerre préventive et changement de régime sont rarement couronnés de succès »,No subheader,https://www.lemonde.fr/idees/article/2025/06/18/iran-israel-guerre-preventive-et-changement-de-regime-sont-rarement-couronnes-de-succes_6614125_3232.html,,,NewsArticle,Sylvie Kauffmann
Le droit international et les leçons de l’histoire,No subheader,https://www.lemonde.fr/idees/article/2025/06/18/le-droit-international-et-les-lecons-de-l-histoire_6614178_3232.html,,,NewsArticle,Le Monde
